display_name,id,coords,country_code,ror,type
National Research Council,https://openalex.org/I4210155236,"41.9003705, 12.5126063",IT,https://ror.org/04zaypm56,nonprofit
University of Palermo,https://openalex.org/I900890020,"38.117838418366674, 13.370416481784385",IT,https://ror.org/https://ror.org/044k9ta02,education
University of Genoa,https://openalex.org/I83816512,"44.4148861, 8.9266707",IT,https://ror.org/0107c5v14,education
Ospedale Policlinico San Martino,https://openalex.org/I4210146472,"44.4094689, 8.9730883",IT,https://ror.org/04d7es448,healthcare
"University of California, Berkeley",https://openalex.org/I95457486,"37.8754996, -122.2390685",US,https://ror.org/01an7q238,education
University of Turin,https://openalex.org/I55143463,"45.051165, 7.6811479",IT,https://ror.org/048tbm396,education
University of Calabria,https://openalex.org/I45204951,"39.36189011734958, 16.22608677964078",IT,https://ror.org/02rc97e94,education
Italian Institute of Technology,https://openalex.org/I30771326,"44.47504600551611, 8.906580099043186",IT,https://ror.org/042t93s57,facility
Ingegneria dei Sistemi (Italy),https://openalex.org/I4210139705,"43.652933, 10.4366005",IT,https://ror.org/03spsm219,company
Simons Foundation,https://openalex.org/I4210107338,,US,https://ror.org/01cmst727,nonprofit
University of Padua,https://openalex.org/I138689650,"45.4066496, 11.8774407",IT,https://ror.org/00240q980,education
Centre National de la Recherche Scientifique,https://openalex.org/I1294671590,"45.7804582, 4.874957",FR,https://ror.org/02feahw73,government
Laboratoire d’Océanographie de Villefranche,https://openalex.org/I4210158228,,FR,https://ror.org/05r5y6641,facility
Sorbonne Université,https://openalex.org/I39804081,"48.8379885, 2.3611216",FR,https://ror.org/02en5vm52,education
Institute of Structure of Matter,https://openalex.org/I4210114374,,IT,https://ror.org/01zz9wh30,facility
Istituto di Scienze Marine del Consiglio Nazionale delle Ricerche,https://openalex.org/I4210114340,,IT,https://ror.org/02hdf6119,facility
Météo-France,https://openalex.org/I4210113730,"44.38669148658399, 1.4941403509777924",FR,https://ror.org/0233st365,other
Laboratoire de l'Atmosphère et des Cyclones,https://openalex.org/I4210131264,,RE,https://ror.org/03wsemq03,facility
Florida State University,https://openalex.org/I103163165,"30.442216, -84.297453",US,https://ror.org/05g3dte14,education
Laboratoire de Météorologie Dynamique,https://openalex.org/I4210087306,,FR,https://ror.org/000ehr937,facility
École Normale Supérieure - PSL,https://openalex.org/I29607241,"48.8417072, 2.3447923",FR,https://ror.org/05a0dhs15,other
GEOMAR Helmholtz Centre for Ocean Research Kiel,https://openalex.org/I34403800,,DE,https://ror.org/02h2x0161,facility
Shenzhen University,https://openalex.org/I180726961,"22.5359023, 113.9314749",CN,https://ror.org/01vy4gh70,education
Center for Biomolecular Nanotechnologies,https://openalex.org/I4210143067,,IT,https://ror.org/05bykpb13,facility
Istituto di Nanotecnologia,https://openalex.org/I4210091015,,IT,https://ror.org/00bc51d88,facility
University of Naples Federico II,https://openalex.org/I71267560,,IT,https://ror.org/05290cv24,education
King's College London,https://openalex.org/I183935753,"51.5030855, -0.0900021",GB,https://ror.org/0220mzb33,education
London Cancer,https://openalex.org/I4210088881,"51.4338501, -0.2237455",GB,https://ror.org/005kpb876,other
University of Salento,https://openalex.org/I142910587,,IT,https://ror.org/03fc1k060,education
Technical University of Denmark,https://openalex.org/I96673099,"55.7854145, 12.5202151",DK,https://ror.org/04qtj9h94,education
Conservatoire National des Arts et Métiers,https://openalex.org/I124158823,"48.866783, 2.3554167",FR,https://ror.org/0175hh227,education
"National Institute of Technology, Tsuyama College",https://openalex.org/I22040003,,JP,https://ror.org/0485q2d74,education
Phoenix Contact (Germany),https://openalex.org/I4210155348,"51.932602, 9.1093187",DE,https://ror.org/04z7k0065,company
Changsha University of Science and Technology,https://openalex.org/I56934997,"28.0705674, 113.0029417",CN,https://ror.org/03yph8055,education
Purdue University West Lafayette,https://openalex.org/I219193219,"40.430028, -86.9264211",US,https://ror.org/02dqehb95,education
Istituto di Matematica Applicata e Tecnologie Informatiche,https://openalex.org/I4210137033,,IT,https://ror.org/03m0n3c07,education
Vinci (France),https://openalex.org/I4210123827,"47.2313693, 2.0935516",FR,https://ror.org/03e278q38,company
Institut Mines-Télécom,https://openalex.org/I205703379,"48.6249126, 2.4427797",FR,https://ror.org/025vp2923,facility
Université de Lille,https://openalex.org/I2279609970,"50.6285707, 3.125956",FR,https://ror.org/02kzqn938,education
Université de Rouen Normandie,https://openalex.org/I62396329,"49.388317, 1.0583887",FR,https://ror.org/03nhjew95,education
École Supérieure d'Ingénieurs en Génie Électrique,https://openalex.org/I2802505300,"49.383293, 1.0773042",FR,https://ror.org/01apwkd48,education
Université de Haute-Alsace,https://openalex.org/I2800745255,"47.7305753, 7.3109492",FR,https://ror.org/04k8k6n84,education
Yunnan Normal University,https://openalex.org/I120825670,"25.0588796, 102.695017",CN,https://ror.org/00sc9n023,education
Queen's University,https://openalex.org/I204722609,"44.2331009, -76.4914971",CA,https://ror.org/02y72wh86,education
Ho Chi Minh City University of Science,https://openalex.org/I23582244,"10.7625844, 106.6816948",VN,https://ror.org/05jfbgm49,education
Vietnam National University Ho Chi Minh City,https://openalex.org/I123565023,"20.9103383, 105.5750406",VN,https://ror.org/00waaqh38,education
