openalex_id,display_name_or_alias,orcid,institutions,n_institutions,n_works_in_input
https://openalex.org/A5007218240,Massimo De Vittorio,https://orcid.org/0000-0003-1601-6392,Center for Biomolecular Nanotechnologies; Ecosystem (Spain); Health First; Innovation Engineering (Italy); Italian Institute of Technology; Technical University of Denmark; Trento RISE (Italy); University of Salento,8,22
https://openalex.org/A5028454417,Ferruccio Pisanello,https://orcid.org/0000-0002-1489-7758,Center for Biomolecular Nanotechnologies; Ecosystem (Spain); Health First; Italian Institute of Technology; Trento RISE (Italy); University of Salento,6,17
https://openalex.org/A5043864991,Maura Casadio,https://orcid.org/0000-0003-2338-8995,University of Genoa,1,16
https://openalex.org/A5017047546,Liam Collard,https://orcid.org/0000-0002-9742-9043,Center for Biomolecular Nanotechnologies; Ecosystem (Spain); Italian Institute of Technology; King's College London; London Cancer; Trento RISE (Italy),6,12
https://openalex.org/A5092828505,Linda Piscopo,https://orcid.org/0000-0002-1976-1518,Center for Biomolecular Nanotechnologies; Italian Institute of Technology; University of Salento,3,11
https://openalex.org/A5072431247,Filippo Pisano,https://orcid.org/0000-0002-5499-160X,Center for Biomolecular Nanotechnologies; Italian Institute of Technology; University of Padua,3,10
https://openalex.org/A5079829556,Giuseppe Patanè,https://orcid.org/0000-0002-2276-9553,Institute of Intelligent Systems for Automation; Istituto di Matematica Applicata e Tecnologie Informatiche; National Research Council,3,10
https://openalex.org/A5055281228,Carlo S. Regazzoni,https://orcid.org/0000-0001-6617-1417,University of Genoa,1,9
https://openalex.org/A5025286783,Silvia Biasotti,https://orcid.org/0000-0002-9992-825X,Istituto di Matematica Applicata e Tecnologie Informatiche,1,9
https://openalex.org/A5038381549,Chiara Romanengo,https://orcid.org/0000-0002-9459-6209,Istituto di Matematica Applicata e Tecnologie Informatiche,1,8
https://openalex.org/A5051447281,Francesco Crenna,https://orcid.org/0000-0002-4803-2082,University of Genoa,1,8
https://openalex.org/A5026784255,Giorgia Marchesi,https://orcid.org/0000-0002-7864-3036,Technology Transfer and Innovation (Italy); University of Genoa,2,8
https://openalex.org/A5087874445,Giovanni Battista Rossi,https://orcid.org/0000-0002-0970-1458,University of Genoa,1,8
https://openalex.org/A5019722167,Lucio Marcenaro,https://orcid.org/0000-0003-1515-120X,University of Genoa,1,8
https://openalex.org/A5054531747,Antonio Balena,https://orcid.org/0000-0003-4314-4314,Center for Biomolecular Nanotechnologies; Centre National de la Recherche Scientifique; Collège de France; Health First; Italian Institute of Technology; Laboratoire Kastler Brossel; Sorbonne University Abu Dhabi; Sorbonne Université; Université Paris Sciences et Lettres; École Normale Supérieure - PSL,10,7
https://openalex.org/A5051340366,Camilla Pierella,https://orcid.org/0000-0002-8108-9363,University of Genoa,1,7
https://openalex.org/A5101961834,David Martín,https://orcid.org/0000-0003-3764-5083,Universidad Carlos III de Madrid,1,7
https://openalex.org/A5081247920,Enrico Simetti,https://orcid.org/0000-0003-4488-4680,University of Genoa,1,7
